setting,planner,n,fact_correctness,dependency_edge_f1,executable_rate,candidate_emergence_rate,final_accuracy,llm_call_count,prompt_tokens,completion_tokens,total_tokens,llm_runtime_seconds,case_runtime_seconds
gold_fresh_generated,A_one_shot,20,1.0,0.03205128205128205,1.0,0.0,0.0,0,0,0,0,0.0,0.017313
gold_fresh_generated,B_backward,20,1.0,0.13178571428571428,1.0,0.35,0.15,22,5485,793,6278,63.883797,63.996253
gold_fresh_generated,C_beam,20,1.0,0.0975,1.0,0.35,0.2,22,5485,793,6278,71.410528,71.587783
gold_fresh_generated,D_beam_prune,20,1.0,0.0975,1.0,0.35,0.2,22,5485,793,6278,80.763576,81.072684
gold_fresh_generated,E_beam_verify_repair,20,1.0,0.0975,1.0,0.35,0.2,22,5485,793,6278,70.575161,70.883983
gold_fresh_oracle,oracle,20,1.0,0.974025974025974,1.0,1.0,1.0,0,0,0,0,0.0,0.019997
gold_history_generated,A_one_shot,20,1.0,0.028571428571428574,0.0,0.0,0.0,0,0,0,0,0.0,0.019376
gold_history_generated,B_backward,20,1.0,0.13178571428571428,0.0,0.4,0.15,22,5937,737,6674,57.315446,57.462675
gold_history_generated,C_beam,20,1.0,0.0975,0.0,0.4,0.2,22,5937,737,6674,64.090404,64.624599
gold_history_generated,D_beam_prune,20,1.0,0.0975,0.0,0.25,0.15,22,5937,737,6674,65.836073,65.946237
gold_history_generated,E_beam_verify_repair,20,1.0,0.0975,0.0,0.25,0.15,22,5937,737,6674,61.526099,61.635753
llm_fresh_generated,A_one_shot,20,0.9866071428571429,0.034848484848484844,1.0,0.0,0.0,0,0,0,0,0.0,0.016859
llm_fresh_generated,B_backward,20,0.9866071428571429,0.1117857142857143,1.0,0.3,0.15,24,7105,820,7925,71.724383,71.812805
llm_fresh_generated,C_beam,20,0.9866071428571429,0.0975,1.0,0.3,0.2,24,7105,820,7925,63.506166,63.792197
llm_fresh_generated,D_beam_prune,20,0.9866071428571429,0.0975,1.0,0.3,0.2,24,7105,820,7925,60.969089,61.224375
llm_fresh_generated,E_beam_verify_repair,20,0.9866071428571429,0.0975,1.0,0.3,0.2,24,7105,820,7925,73.294422,73.548841
llm_fresh_oracle,oracle,20,0.9866071428571429,0.9558441558441558,0.95,0.95,0.95,0,0,0,0,0.0,0.018056
llm_history_generated,A_one_shot,20,0.9866071428571429,0.030952380952380953,0.0,0.0,0.0,0,0,0,0,0.0,0.018698
llm_history_generated,B_backward,20,0.9866071428571429,0.13178571428571428,0.0,0.4,0.15,24,7872,800,8672,62.71701,62.856812
llm_history_generated,C_beam,20,0.9866071428571429,0.0975,0.0,0.4,0.2,24,7872,800,8672,72.249963,72.500619
llm_history_generated,D_beam_prune,20,0.9866071428571429,0.0975,0.0,0.25,0.15,24,7872,800,8672,65.534958,65.634943
llm_history_generated,E_beam_verify_repair,20,0.9866071428571429,0.0975,0.0,0.25,0.15,24,7872,800,8672,64.728855,64.829294
